id,mp_party
1369264553540915204,UUP
1368492390928031745,UUP
1368209280353132544,UUP
1368195288108855298,UUP
1368184716491436035,UUP
1368131920790425600,UUP
1368131663717429249,UUP
1367911721550110724,UUP
1367894417860870153,UUP
1367808815404613640,UUP
1367805990322778115,UUP
1367789993549258752,UUP
1367539137914540037,UUP
1367534065444937729,UUP
1361612319273463809,UUP
1354442627630948356,UUP
1348570255371722752,UUP
1369278257229660161,Traditional Unionist Voice
1369240280411561985,Traditional Unionist Voice
1369009018992201730,Traditional Unionist Voice
1368841769417388033,Traditional Unionist Voice
1367961173082144771,Traditional Unionist Voice
1367865890201559042,Traditional Unionist Voice
1367531011890937862,Traditional Unionist Voice
1367517919761080329,Traditional Unionist Voice
1367517726026194948,Traditional Unionist Voice
1367484624784474128,Traditional Unionist Voice
1367226656927195141,Traditional Unionist Voice
1367198871127027714,Traditional Unionist Voice
1367144871459508230,Traditional Unionist Voice
1367144592773165060,Traditional Unionist Voice
1367144101527883780,Traditional Unionist Voice
1367142462607806469,Traditional Unionist Voice
1366820967100645383,Traditional Unionist Voice
1366807127252230147,Traditional Unionist Voice
1366792022724644867,Traditional Unionist Voice
1366498144725454862,Traditional Unionist Voice
1366458821980340226,Traditional Unionist Voice
1366449023700389893,Traditional Unionist Voice
1366448839696281600,Traditional Unionist Voice
1366448725653147649,Traditional Unionist Voice
1366031113475551235,Traditional Unionist Voice
1365375652195614725,Traditional Unionist Voice
1365374939407273985,Traditional Unionist Voice
1365368229674291201,Traditional Unionist Voice
1365230509643751426,Traditional Unionist Voice
1365002605265567750,Traditional Unionist Voice
1364656192686092289,Traditional Unionist Voice
1364640579242647552,Traditional Unionist Voice
1364640435952627712,Traditional Unionist Voice
1364640217760739340,Traditional Unionist Voice
1364639323325411330,Traditional Unionist Voice
1364596279968485382,Traditional Unionist Voice
1364568309384044550,Traditional Unionist Voice
1364257812868661248,Traditional Unionist Voice
1364257688213929986,Traditional Unionist Voice
1364257291659321345,Traditional Unionist Voice
1364257083806412800,Traditional Unionist Voice
1364198631444733962,Traditional Unionist Voice
1364175385873768449,Traditional Unionist Voice
1364153300636094466,Traditional Unionist Voice
1363939670514683904,Traditional Unionist Voice
1363887967186669568,Traditional Unionist Voice
1363887926061465603,Traditional Unionist Voice
1363883419344769029,Traditional Unionist Voice
1363818717566676992,Traditional Unionist Voice
1363798952060018692,Traditional Unionist Voice
1363532514778902530,Traditional Unionist Voice
1363170367284641793,Traditional Unionist Voice
1362838676770877442,Traditional Unionist Voice
1362357189114032131,Traditional Unionist Voice
1362075897239592961,Traditional Unionist Voice
1362075553646444544,Traditional Unionist Voice
1362074558740762625,Traditional Unionist Voice
1362074393233473536,Traditional Unionist Voice
1362008781148876800,Traditional Unionist Voice
1361978133210087428,Traditional Unionist Voice
1361812767993434113,Traditional Unionist Voice
1361751949490741256,Traditional Unionist Voice
1361732075481673728,Traditional Unionist Voice
1361731788507340801,Traditional Unionist Voice
1361694949071282180,Traditional Unionist Voice
1361370861643714561,Traditional Unionist Voice
1361370757780103168,Traditional Unionist Voice
1361370423955488770,Traditional Unionist Voice
1361249961489403907,Traditional Unionist Voice
1369236138574176259,Sinn Féin
1369039104244088837,Sinn Féin
1368923507971743747,Sinn Féin
1368830850448715776,Sinn Féin
1368659774296965127,Sinn Féin
1368539462716841987,Sinn Féin
1368472712159653891,Sinn Féin
1368471827224408066,Sinn Féin
1368274723994558475,Sinn Féin
1368192251906646022,Sinn Féin
1368114878372839428,Sinn Féin
1367963390363267072,Sinn Féin
1367897461474353156,Sinn Féin
1367872030834634759,Sinn Féin
1367828109148499968,Sinn Féin
1367609994426933253,Sinn Féin
1367604628536328192,Sinn Féin
1367597460395327491,Sinn Féin
1367595563131273219,Sinn Féin
1367546759426281473,Sinn Féin
1367474205634273285,Sinn Féin
1367224277016141825,Sinn Féin
1367161186618343428,Sinn Féin
1367116514307018756,Sinn Féin
1367097199209967618,Sinn Féin
1366873042610237450,Sinn Féin
1366695716404494336,Sinn Féin
1366522204746375175,Sinn Féin
1366518241875685376,Sinn Féin
1366512946969513986,Sinn Féin
1366463136388304898,Sinn Féin
1366371162058612737,Sinn Féin
1366301386401529857,Sinn Féin
1366168038316326912,Sinn Féin
1365785478230859785,Sinn Féin
1365733104237883404,Sinn Féin
1365723370952753152,Sinn Féin
1365431914128158723,Sinn Féin
1365287413678034945,Sinn Féin
1365274456218861571,Sinn Féin
1364988111311241218,Sinn Féin
1364912011692367873,Sinn Féin
1364889295002206209,Sinn Féin
1364699975389708295,Sinn Féin
1364680001673650182,Sinn Féin
1364642915985817601,Sinn Féin
1364580920200728578,Sinn Féin
1364548233964507139,Sinn Féin
1364513032248975360,Sinn Féin
1363192208854253570,Sinn Féin
1363191352419311624,Sinn Féin
1363083432117624838,Sinn Féin
1362898248919224320,Sinn Féin
1362890541755731979,Sinn Féin
1362889616832032768,Sinn Féin
1362880691025887234,Sinn Féin
1362764281423527938,Sinn Féin
1362738660651728898,Sinn Féin
1362524592997335040,Sinn Féin
1362370713303326722,Sinn Féin
1369233443855491076,Sinn Féin
1369055700370984964,Sinn Féin
1369055355431510018,Sinn Féin
1369055172870234115,Sinn Féin
1369054971912724480,Sinn Féin
1368996152503369729,Sinn Féin
1368948708251996163,Sinn Féin
1368888976929619970,Sinn Féin
1368884102313766916,Sinn Féin
1368882093737054212,Sinn Féin
1368881958567165952,Sinn Féin
1368634389589094403,Sinn Féin
1368579279118864384,Sinn Féin
1368578630914367491,Sinn Féin
1368558006842064904,Sinn Féin
1368507136964190211,Sinn Féin
1368156837531578372,Sinn Féin
1368148865954820100,Sinn Féin
1367979567932178432,Sinn Féin
1367953767409332229,Sinn Féin
1367940306868506625,Sinn Féin
1367829725926862848,Sinn Féin
1367614038226718722,Sinn Féin
1367585421052370949,Sinn Féin
1367582402541944835,Sinn Féin
1367481710485655552,Sinn Féin
1367464159550595074,Sinn Féin
1367260159228190724,Sinn Féin
1367248798217605120,Sinn Féin
1367239967534182400,Sinn Féin
1367183667307634702,Sinn Féin
1366881567797346313,Sinn Féin
1366773147110944768,Sinn Féin
1366493923259080708,Sinn Féin
1366390844069134337,Sinn Féin
1366302332493979648,Sinn Féin
